"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2017,06:59,86.689,86.851,85.725,85.936,0,0
02/01/2017,06:59,85.906,86.075,85.188,85.539,0,0
02/02/2017,06:59,85.536,86.102,85.341,85.889,0,0
02/03/2017,06:59,85.837,86.512,85.821,86.370,0,0
02/04/2017,06:59,86.283,86.717,86.010,86.447,0,0
02/07/2017,06:59,86.300,86.482,85.457,85.577,0,0
02/08/2017,06:59,85.481,85.888,85.227,85.706,0,0
02/09/2017,06:59,85.690,85.814,85.359,85.552,0,0
02/10/2017,06:59,85.517,86.441,85.355,86.331,0,0
02/11/2017,06:59,86.319,87.175,86.310,86.850,0,0
02/14/2017,06:59,87.142,87.486,86.825,86.899,0,0
02/15/2017,06:59,86.813,87.566,86.804,87.549,0,0
02/16/2017,06:59,87.520,88.144,87.500,88.026,0,0
02/17/2017,06:59,87.977,88.171,87.000,87.126,0,0
02/18/2017,06:59,87.079,87.451,86.293,86.446,0,0
02/21/2017,06:59,86.530,87.002,86.471,86.939,0,0
02/22/2017,06:59,86.929,87.312,86.838,87.238,0,0
02/23/2017,06:59,87.209,87.386,86.682,87.270,0,0
02/24/2017,06:59,87.203,87.311,86.765,86.874,0,0
02/25/2017,06:59,86.851,87.077,85.885,85.934,0,0
02/28/2017,06:59,86.098,86.633,85.841,86.465,0,0
03/01/2017,06:59,86.428,86.604,85.845,86.321,0,0
03/02/2017,06:59,86.301,87.311,86.241,87.279,0,0
03/03/2017,06:59,87.286,87.477,86.541,86.611,0,0
03/04/2017,06:59,86.610,86.705,86.189,86.538,0,0
03/07/2017,06:59,86.393,86.593,86.156,86.319,0,0
03/08/2017,06:59,86.269,86.910,86.253,86.470,0,0
03/09/2017,06:59,86.457,86.541,86.061,86.093,0,0
03/10/2017,06:59,86.030,86.406,85.843,86.235,0,0
03/11/2017,06:59,86.236,87.065,86.165,86.498,0,0
03/14/2017,06:59,86.529,87.027,86.492,86.969,0,0
03/15/2017,06:59,86.957,86.999,86.604,86.720,0,0
03/16/2017,06:59,86.725,87.479,86.676,87.400,0,0
03/17/2017,06:59,87.351,87.481,86.688,86.975,0,0
03/18/2017,06:59,86.945,87.207,86.599,86.733,0,0
03/21/2017,06:59,86.606,87.233,86.606,86.994,0,0
03/22/2017,06:59,86.980,87.099,85.799,85.910,0,0
03/23/2017,06:59,85.839,85.928,84.814,85.327,0,0
03/24/2017,06:59,85.321,85.495,84.412,84.592,0,0
03/25/2017,06:59,84.579,85.077,84.345,84.842,0,0
03/28/2017,06:59,84.648,84.765,83.896,84.280,0,0
03/29/2017,06:59,84.265,84.919,83.819,84.846,0,0
03/30/2017,06:59,84.800,85.271,84.669,85.151,0,0
03/31/2017,06:59,85.137,85.606,84.888,85.522,0,0
04/01/2017,06:59,85.477,85.759,84.903,84.953,0,0
04/04/2017,06:59,84.952,85.073,84.230,84.334,0,0
04/05/2017,06:59,84.322,84.394,83.223,83.745,0,0
04/06/2017,06:59,83.758,84.407,83.576,83.768,0,0
