"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2017,06:59,87.289,87.492,86.556,86.714,0,0
02/01/2017,06:59,86.674,86.946,86.112,86.546,0,0
02/02/2017,06:59,86.519,87.113,86.332,86.757,0,0
02/03/2017,06:59,86.728,86.913,86.198,86.573,0,0
02/04/2017,06:59,86.555,86.897,86.347,86.374,0,0
02/07/2017,06:59,86.259,86.559,85.162,85.370,0,0
02/08/2017,06:59,85.375,85.511,84.895,85.206,0,0
02/09/2017,06:59,85.209,85.403,84.859,85.151,0,0
02/10/2017,06:59,85.118,86.278,84.988,86.108,0,0
02/11/2017,06:59,86.096,86.934,86.048,86.476,0,0
02/14/2017,06:59,86.666,87.157,86.586,87.011,0,0
02/15/2017,06:59,86.969,87.516,86.788,87.391,0,0
02/16/2017,06:59,87.325,87.726,87.091,87.258,0,0
02/17/2017,06:59,87.231,87.423,86.505,86.614,0,0
02/18/2017,06:59,86.613,86.865,85.907,86.095,0,0
02/21/2017,06:59,86.068,86.526,86.064,86.263,0,0
02/22/2017,06:59,86.257,86.572,86.212,86.472,0,0
02/23/2017,06:59,86.451,86.598,85.476,86.057,0,0
02/24/2017,06:59,86.062,86.257,85.859,85.940,0,0
02/25/2017,06:59,85.907,86.172,85.419,85.547,0,0
02/28/2017,06:59,85.547,85.789,85.341,85.492,0,0
03/01/2017,06:59,85.404,85.540,84.182,84.758,0,0
03/02/2017,06:59,84.747,85.658,84.731,85.323,0,0
03/03/2017,06:59,85.263,85.641,85.252,85.435,0,0
03/04/2017,06:59,85.397,85.459,85.087,85.183,0,0
03/07/2017,06:59,85.097,85.280,84.800,84.922,0,0
03/08/2017,06:59,84.881,85.129,84.867,84.972,0,0
03/09/2017,06:59,84.932,85.213,84.684,84.762,0,0
03/10/2017,06:59,84.694,85.126,84.644,85.052,0,0
03/11/2017,06:59,85.043,85.896,85.028,85.146,0,0
03/14/2017,06:59,85.204,85.439,85.116,85.431,0,0
03/15/2017,06:59,85.403,85.566,84.894,85.115,0,0
03/16/2017,06:59,85.098,85.403,84.758,85.206,0,0
03/17/2017,06:59,85.158,85.366,84.780,85.058,0,0
03/18/2017,06:59,85.023,85.203,84.152,84.370,0,0
03/21/2017,06:59,84.366,84.618,84.225,84.279,0,0
03/22/2017,06:59,84.277,84.787,83.552,83.644,0,0
03/23/2017,06:59,83.627,83.706,82.638,83.383,0,0
03/24/2017,06:59,83.346,83.712,82.924,83.069,0,0
03/25/2017,06:59,83.060,83.405,82.687,83.147,0,0
03/28/2017,06:59,82.967,83.133,82.226,82.718,0,0
03/29/2017,06:59,82.703,83.120,82.298,83.034,0,0
03/30/2017,06:59,82.987,83.347,82.752,83.306,0,0
03/31/2017,06:59,83.270,83.923,83.199,83.850,0,0
04/01/2017,06:59,83.839,84.201,83.508,83.583,0,0
04/04/2017,06:59,83.601,83.744,82.756,82.853,0,0
04/05/2017,06:59,82.833,82.897,82.010,82.603,0,0
04/06/2017,06:59,82.536,83.181,82.342,82.363,0,0
04/07/2017,06:59,82.314,82.876,82.079,82.600,0,0
04/08/2017,06:59,82.576,83.054,82.096,82.809,0,0
04/11/2017,06:59,82.764,83.372,82.755,83.236,0,0
04/12/2017,06:59,83.205,83.223,82.115,82.228,0,0
04/13/2017,06:59,82.204,82.684,82.010,82.257,0,0
04/14/2017,06:59,82.262,82.626,81.780,81.850,0,0
04/15/2017,06:59,81.844,81.960,81.397,81.437,0,0
04/18/2017,06:59,81.566,81.887,81.260,81.773,0,0
04/19/2017,06:59,81.738,81.951,80.921,81.025,0,0
04/20/2017,06:59,80.988,81.229,80.575,80.715,0,0
04/21/2017,06:59,80.706,81.232,80.684,81.143,0,0
04/22/2017,06:59,81.121,81.240,80.568,80.739,0,0
04/25/2017,06:59,82.020,82.208,81.161,81.300,0,0
