"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2017,06:59,114.966,115.123,113.946,114.307,0,0
02/01/2017,06:59,114.210,114.635,113.519,113.952,0,0
02/02/2017,06:59,113.933,114.692,113.767,114.030,0,0
02/03/2017,06:59,113.909,114.120,113.455,113.600,0,0
02/04/2017,06:59,113.546,113.920,113.148,113.366,0,0
02/07/2017,06:59,113.295,113.522,112.550,112.754,0,0
02/08/2017,06:59,112.641,112.840,112.156,112.623,0,0
02/09/2017,06:59,112.582,112.711,112.172,112.510,0,0
02/10/2017,06:59,112.443,113.166,112.271,113.027,0,0
02/11/2017,06:59,113.021,113.633,112.662,112.903,0,0
02/14/2017,06:59,113.095,113.571,112.953,113.078,0,0
02/15/2017,06:59,113.023,113.580,112.738,113.520,0,0
02/16/2017,06:59,113.496,113.745,113.228,113.525,0,0
02/17/2017,06:59,113.435,113.784,113.316,113.563,0,0
02/18/2017,06:59,113.527,113.770,112.446,112.470,0,0
02/21/2017,06:59,112.438,112.916,112.425,112.731,0,0
02/22/2017,06:59,112.724,113.020,112.390,112.554,0,0
02/23/2017,06:59,112.517,112.670,111.495,112.120,0,0
02/24/2017,06:59,112.120,112.245,111.745,111.893,0,0
02/25/2017,06:59,111.806,112.184,111.100,111.185,0,0
02/28/2017,06:59,111.263,111.798,111.063,111.640,0,0
03/01/2017,06:59,111.543,112.207,111.246,112.074,0,0
03/02/2017,06:59,112.069,112.931,112.016,112.703,0,0
03/03/2017,06:59,112.695,113.179,112.655,112.891,0,0
03/04/2017,06:59,112.868,113.331,112.658,113.066,0,0
03/07/2017,06:59,112.839,113.169,112.451,112.529,0,0
03/08/2017,06:59,112.472,112.678,112.124,112.478,0,0
03/09/2017,06:59,112.430,113.117,112.069,112.705,0,0
03/10/2017,06:59,112.593,113.778,112.573,113.526,0,0
03/11/2017,06:59,113.520,114.186,113.424,113.435,0,0
03/14/2017,06:59,113.464,114.060,113.241,114.034,0,0
03/15/2017,06:59,114.020,114.300,113.512,113.572,0,0
03/16/2017,06:59,113.566,113.924,113.116,113.325,0,0
03/17/2017,06:59,113.244,113.851,113.067,113.676,0,0
03/18/2017,06:59,113.606,113.918,112.751,112.756,0,0
03/21/2017,06:59,112.831,113.242,112.641,112.694,0,0
03/22/2017,06:59,112.649,113.304,112.218,112.389,0,0
03/23/2017,06:59,112.385,112.447,111.744,112.113,0,0
03/24/2017,06:59,112.104,112.393,111.492,111.645,0,0
03/25/2017,06:59,111.642,112.324,111.604,112.229,0,0
03/28/2017,06:59,112.137,112.429,111.561,112.277,0,0
03/29/2017,06:59,112.223,112.422,111.786,111.964,0,0
03/30/2017,06:59,111.933,112.216,111.053,111.433,0,0
