"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2017,06:59,122.989,123.111,121.433,121.694,0,0
02/01/2017,06:59,121.632,122.252,121.008,121.773,0,0
02/02/2017,06:59,121.724,122.507,121.576,121.948,0,0
02/03/2017,06:59,121.868,122.034,121.201,121.327,0,0
02/04/2017,06:59,121.341,121.758,121.077,121.383,0,0
02/07/2017,06:59,121.314,121.489,119.951,120.104,0,0
02/08/2017,06:59,120.090,120.207,119.533,120.039,0,0
02/09/2017,06:59,120.006,120.096,119.322,119.752,0,0
02/10/2017,06:59,119.760,120.778,119.508,120.651,0,0
02/11/2017,06:59,120.581,121.324,120.202,120.428,0,0
02/14/2017,06:59,120.643,121.163,120.380,120.522,0,0
02/15/2017,06:59,120.485,120.989,120.208,120.863,0,0
02/16/2017,06:59,120.763,121.274,120.706,120.994,0,0
02/17/2017,06:59,120.998,121.157,120.677,120.866,0,0
02/18/2017,06:59,120.805,121.087,119.696,119.748,0,0
02/21/2017,06:59,119.705,120.296,119.705,120.019,0,0
02/22/2017,06:59,120.050,120.305,119.555,119.766,0,0
02/23/2017,06:59,119.767,119.867,118.589,119.617,0,0
02/24/2017,06:59,119.432,119.702,119.034,119.168,0,0
02/25/2017,06:59,119.106,119.497,118.231,118.387,0,0
02/28/2017,06:59,118.410,119.453,118.242,119.295,0,0
03/01/2017,06:59,119.257,119.384,118.659,119.237,0,0
03/02/2017,06:59,119.230,120.211,119.179,119.932,0,0
03/03/2017,06:59,119.968,120.481,119.872,120.190,0,0
03/04/2017,06:59,120.159,121.158,120.007,121.088,0,0
03/07/2017,06:59,120.816,121.125,120.342,120.500,0,0
03/08/2017,06:59,120.490,120.709,120.382,120.418,0,0
03/09/2017,06:59,120.399,121.114,120.009,120.562,0,0
03/10/2017,06:59,120.447,121.873,120.427,121.547,0,0
03/11/2017,06:59,121.543,122.822,121.486,122.467,0,0
03/14/2017,06:59,122.507,122.879,122.131,122.370,0,0
03/15/2017,06:59,122.370,122.622,121.646,121.674,0,0
03/16/2017,06:59,121.672,122.053,121.197,121.662,0,0
