"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2017,06:59,144.345,144.603,141.657,142.074,0,0
02/01/2017,06:59,141.907,142.456,140.432,141.850,0,0
02/02/2017,06:59,141.861,144.119,141.620,143.349,0,0
02/03/2017,06:59,143.218,143.519,140.743,141.264,0,0
02/04/2017,06:59,141.195,141.967,140.371,140.475,0,0
02/07/2017,06:59,140.360,140.754,139.206,139.299,0,0
02/08/2017,06:59,139.199,140.585,138.532,140.548,0,0
02/09/2017,06:59,140.509,140.669,139.796,140.364,0,0
02/10/2017,06:59,140.314,141.804,140.012,141.461,0,0
02/11/2017,06:59,141.450,142.357,140.998,141.287,0,0
02/14/2017,06:59,141.563,142.608,141.479,142.460,0,0
02/15/2017,06:59,142.416,142.706,140.989,142.437,0,0
02/16/2017,06:59,142.365,142.800,141.831,142.249,0,0
02/17/2017,06:59,142.174,142.450,141.239,141.403,0,0
02/18/2017,06:59,141.374,141.934,139.620,139.961,0,0
02/21/2017,06:59,139.971,141.252,139.956,140.932,0,0
02/22/2017,06:59,140.859,141.855,140.826,141.785,0,0
02/23/2017,06:59,141.711,142.024,140.469,141.062,0,0
02/24/2017,06:59,141.004,141.537,140.676,141.410,0,0
02/25/2017,06:59,141.299,141.761,139.406,139.671,0,0
02/28/2017,06:59,139.785,140.364,138.999,140.227,0,0
03/01/2017,06:59,140.080,140.315,138.814,139.602,0,0
03/02/2017,06:59,139.511,140.723,139.493,139.782,0,0
03/03/2017,06:59,139.776,140.745,139.736,140.331,0,0
03/04/2017,06:59,140.275,140.490,139.595,140.082,0,0
03/07/2017,06:59,139.884,140.301,139.265,139.366,0,0
03/08/2017,06:59,139.279,139.626,138.719,139.059,0,0
03/09/2017,06:59,138.992,139.656,138.430,139.178,0,0
03/10/2017,06:59,139.028,140.024,139.012,139.782,0,0
03/11/2017,06:59,139.717,140.532,139.512,139.555,0,0
03/14/2017,06:59,139.487,140.491,139.299,140.334,0,0
03/15/2017,06:59,140.335,140.416,139.144,139.437,0,0
03/16/2017,06:59,139.322,140.596,139.076,139.322,0,0
03/17/2017,06:59,139.249,140.183,138.551,140.006,0,0
03/18/2017,06:59,139.951,140.458,139.147,139.581,0,0
03/21/2017,06:59,139.506,140.130,138.888,139.081,0,0
03/22/2017,06:59,139.068,140.404,138.899,139.407,0,0
03/23/2017,06:59,139.355,139.486,137.742,138.765,0,0
03/24/2017,06:59,138.721,139.321,138.293,138.864,0,0
03/25/2017,06:59,138.866,139.154,138.285,138.809,0,0
03/28/2017,06:59,138.447,139.103,138.034,138.964,0,0
03/29/2017,06:59,138.903,139.386,138.032,138.384,0,0
03/30/2017,06:59,138.239,138.496,137.508,138.069,0,0
03/31/2017,06:59,138.001,139.599,137.741,139.548,0,0
04/01/2017,06:59,139.442,140.082,138.975,139.759,0,0
04/04/2017,06:59,139.647,139.894,138.291,138.460,0,0
04/05/2017,06:59,138.409,138.485,137.085,137.735,0,0
04/06/2017,06:59,137.736,139.026,137.440,138.191,0,0
04/07/2017,06:59,138.143,138.713,137.709,138.150,0,0
04/08/2017,06:59,138.095,138.340,136.893,137.385,0,0
04/11/2017,06:59,137.449,138.257,137.282,137.704,0,0
04/12/2017,06:59,137.640,137.728,136.833,136.904,0,0
04/13/2017,06:59,136.767,137.309,136.507,136.678,0,0
04/14/2017,06:59,136.598,137.116,136.319,136.346,0,0
04/15/2017,06:59,136.414,136.605,135.889,136.005,0,0
04/18/2017,06:59,136.169,136.970,135.579,136.814,0,0
04/19/2017,06:59,136.767,140.014,136.131,139.252,0,0
04/20/2017,06:59,139.123,140.186,138.916,139.086,0,0
04/21/2017,06:59,139.024,140.329,138.953,140.031,0,0
04/22/2017,06:59,139.996,140.140,139.176,139.647,0,0
04/25/2017,06:59,141.898,142.036,140.181,140.417,0,0
04/26/2017,06:59,140.421,142.646,140.041,142.584,0,0
04/27/2017,06:59,142.569,143.502,142.324,142.655,0,0
04/28/2017,06:59,142.600,143.886,142.534,143.551,0,0
04/29/2017,06:59,143.466,144.494,143.283,144.260,0,0
05/02/2017,06:59,143.857,144.616,143.787,144.089,0,0
05/03/2017,06:59,143.972,145.109,143.972,144.929,0,0
05/04/2017,06:59,144.837,145.350,144.495,145.075,0,0
05/05/2017,06:59,145.049,145.723,144.642,145.300,0,0
05/06/2017,06:59,145.265,146.417,144.789,146.215,0,0
05/09/2017,06:59,146.560,146.674,145.653,146.534,0,0
05/10/2017,06:59,146.438,147.872,146.429,147.438,0,0
05/11/2017,06:59,147.304,148.105,147.112,147.848,0,0
05/12/2017,06:59,147.761,147.930,146.124,146.732,0,0
05/13/2017,06:59,146.619,146.795,145.799,146.017,0,0
05/16/2017,06:59,145.733,146.990,145.681,146.719,0,0
05/17/2017,06:59,146.689,147.106,145.804,146.119,0,0
05/18/2017,06:59,145.976,146.101,143.613,143.720,0,0
05/19/2017,06:59,143.620,144.824,143.323,144.260,0,0
05/20/2017,06:59,144.108,145.372,143.810,144.974,0,0
05/23/2017,06:59,144.202,145.081,144.119,144.668,0,0
05/24/2017,06:59,144.646,145.141,143.756,144.890,0,0
05/25/2017,06:59,144.828,145.406,144.491,144.653,0,0
05/26/2017,06:59,144.465,145.428,144.465,144.734,0,0
05/27/2017,06:59,144.560,144.720,142.122,142.464,0,0
05/30/2017,06:59,142.375,143.072,142.314,142.820,0,0
05/31/2017,06:59,142.729,143.092,141.811,142.491,0,0
06/01/2017,06:59,142.389,142.907,141.469,142.774,0,0
06/02/2017,06:59,142.733,143.695,142.491,143.410,0,0
06/03/2017,06:59,143.427,143.942,142.004,142.302,0,0
06/06/2017,06:59,141.872,143.095,141.853,142.528,0,0
06/07/2017,06:59,142.483,142.637,140.705,141.189,0,0
06/08/2017,06:59,141.150,142.370,140.726,142.326,0,0
06/09/2017,06:59,142.363,142.760,141.734,142.486,0,0
06/10/2017,06:59,142.437,142.521,139.515,140.558,0,0
06/13/2017,06:59,140.178,140.797,138.658,139.164,0,0
06/14/2017,06:59,139.162,140.392,138.921,140.328,0,0
06/15/2017,06:59,140.347,140.895,139.095,139.729,0,0
06/16/2017,06:59,139.713,141.580,139.173,141.500,0,0
06/17/2017,06:59,141.449,142.327,141.312,141.613,0,0
06/20/2017,06:59,141.476,142.332,141.308,142.045,0,0
06/21/2017,06:59,141.959,142.539,140.577,140.703,0,0
06/22/2017,06:59,140.710,141.749,139.837,141.114,0,0
