"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2017,15:30,19145.35,19199.75,19041.34,19041.34,1339248,0
02/01/2017,15:30,18926.97,19155.79,18916.18,19148.08,1314824,0
02/02/2017,15:30,19152.79,19170.63,18866.80,18914.58,1365221,0
02/03/2017,15:30,18996.74,19061.26,18830.89,18918.20,1409429,0
02/06/2017,15:30,19069.72,19075.57,18899.40,18976.71,1204600,0
02/07/2017,15:30,18844.12,18970.58,18805.32,18910.78,1061318,0
02/08/2017,15:30,18951.16,19009.24,18875.57,19007.60,1028538,0
02/09/2017,15:30,18942.04,18991.23,18874.91,18907.67,1304574,0
02/10/2017,15:30,19216.74,19395.99,19193.57,19378.93,1493948,0
02/13/2017,15:30,19513.78,19519.44,19418.18,19459.15,1178645,0
02/14/2017,15:30,19478.86,19501.01,19232.85,19238.98,1428300,0
02/15/2017,15:30,19438.81,19495.62,19420.00,19437.98,1427865,0
02/16/2017,15:30,19431.61,19431.61,19260.24,19347.53,1377753,0
02/17/2017,15:30,19228.74,19275.39,19173.53,19234.62,1436176,0
02/20/2017,15:30,19161.33,19274.75,19115.11,19251.08,989091,0
02/21/2017,15:30,19267.87,19395.35,19261.98,19381.44,1006883,0
02/22/2017,15:30,19419.22,19419.22,19329.28,19379.87,1567168,0
02/23/2017,15:30,19379.92,19379.92,19262.63,19371.46,1408283,0
02/24/2017,15:30,19232.11,19381.10,19219.58,19283.54,1488609,0
02/27/2017,15:30,19130.51,19178.99,18995.55,19107.47,1241818,0
02/28/2017,15:30,19194.68,19267.99,19118.99,19118.99,1328720,0
03/01/2017,15:30,19226.94,19414.55,19164.62,19393.54,1323280,0
03/02/2017,15:30,19624.82,19668.01,19564.80,19564.80,1462326,0
03/03/2017,15:30,19551.34,19587.79,19392.75,19469.17,1109548,0
03/06/2017,15:30,19409.18,19411.54,19340.32,19379.14,880226,0
03/07/2017,15:30,19337.19,19375.09,19317.10,19344.15,987811,0
03/08/2017,15:30,19308.53,19326.40,19198.78,19254.03,1032329,0
03/09/2017,15:30,19343.06,19350.20,19262.98,19318.58,1010884,0
03/10/2017,15:30,19444.71,19623.72,19427.81,19604.61,1553374,0
03/13/2017,15:30,19545.74,19656.48,19531.51,19633.75,926135,0
03/14/2017,15:30,19634.29,19637.55,19599.62,19609.50,1232644,0
03/15/2017,15:30,19528.75,19581.53,19503.74,19577.38,1156678,0
03/16/2017,15:30,19458.70,19618.99,19454.17,19590.14,1224831,0
03/17/2017,15:30,19510.89,19547.51,19487.92,19521.59,1371075,0
03/21/2017,15:30,19416.55,19485.14,19337.22,19455.88,1016683,0
03/22/2017,15:30,19146.62,19183.27,19026.53,19041.38,1365868,0
03/23/2017,15:30,19048.84,19105.11,18973.75,19085.31,1210211,0
03/24/2017,15:30,19066.35,19296.05,19060.64,19262.53,1276605,0
03/27/2017,15:30,19071.19,19086.89,18932.09,18985.59,1208282,0
03/28/2017,15:30,19159.07,19203.64,19113.44,19202.87,1223400,0
03/29/2017,15:30,19216.78,19251.30,19164.61,19217.48,1150772,0
03/30/2017,15:30,19150.82,19218.08,19043.48,19063.22,1245041,0
03/31/2017,15:30,19170.42,19210.92,18909.26,18909.26,1491619,0
04/03/2017,15:30,18988.00,19068.62,18920.52,18983.23,1341846,0
04/04/2017,15:30,18933.82,18947.33,18703.63,18810.25,1469116,0
04/05/2017,15:30,18900.70,18941.94,18773.94,18861.27,1216084,0
04/06/2017,15:30,18754.37,18797.44,18532.65,18597.06,1336046,0
04/07/2017,15:30,18714.98,18785.73,18517.43,18664.63,1615991,0
04/10/2017,15:30,18800.22,18850.80,18762.70,18797.88,1112952,0
04/11/2017,15:30,18717.55,18767.70,18661.86,18747.87,1082709,0
04/12/2017,15:30,18592.10,18602.50,18460.59,18552.61,1199324,0
04/13/2017,15:30,18391.72,18455.25,18304.72,18426.84,1274806,0
04/14/2017,15:30,18531.91,18531.91,18285.73,18335.63,1191122,0
04/17/2017,15:30,18239.84,18361.44,18224.68,18355.26,891286,0
04/18/2017,15:30,18497.38,18547.46,18362.73,18418.59,961994,0
04/19/2017,15:30,18327.33,18467.73,18327.33,18432.20,1245203,0
04/20/2017,15:30,18446.39,18523.40,18420.82,18430.49,1204996,0
04/21/2017,15:30,18591.82,18648.28,18542.42,18620.75,1166996,0
04/24/2017,15:30,18890.38,18910.33,18840.13,18875.88,1010529,0
04/25/2017,15:30,18872.56,19109.76,18867.19,19079.33,1216765,0
04/26/2017,15:30,19184.92,19289.43,19170.86,19289.43,1334327,0
04/27/2017,15:30,19205.59,19281.70,19199.59,19251.87,1203226,0
04/28/2017,15:30,19240.65,19264.57,19164.68,19196.74,1214218,0
05/01/2017,15:30,19154.03,19311.21,19144.62,19310.52,1098133,0
05/02/2017,15:30,19335.72,19464.30,19335.02,19445.70,1161529,0
05/08/2017,15:30,19709.01,19929.48,19705.13,19895.70,1532765,0
05/09/2017,15:30,19915.64,19917.45,19838.71,19843.00,1272997,0
05/10/2017,15:30,19890.56,19938.53,19866.30,19900.09,1329950,0
05/11/2017,15:30,19943.95,19989.94,19906.35,19961.55,1406246,0
05/12/2017,15:30,19941.64,19941.64,19809.91,19883.90,1410500,0
05/15/2017,15:30,19753.46,19869.85,19740.63,19869.85,1323153,0
05/16/2017,15:30,19953.06,19998.49,19862.41,19919.82,1352157,0
05/17/2017,15:30,19806.78,19842.78,19764.63,19814.88,1217898,0
05/18/2017,15:30,19556.99,19601.53,19449.73,19553.86,1399496,0
05/19/2017,15:30,19591.41,19628.64,19497.29,19590.76,1191803,0
05/22/2017,15:30,19670.48,19722.93,19618.73,19678.28,808622,0
05/23/2017,15:30,19647.74,19693.02,19585.54,19613.28,859794,0
05/24/2017,15:30,19777.56,19782.81,19690.10,19742.98,1044233,0
05/25/2017,15:30,19737.21,19850.93,19720.12,19813.13,979883,0
05/26/2017,15:30,19798.49,19801.59,19686.49,19686.84,870741,0
05/29/2017,15:30,19697.18,19736.62,19627.19,19682.57,693751,0
05/30/2017,15:30,19681.11,19691.44,19570.13,19677.85,748029,0
05/31/2017,15:30,19630.33,19673.51,19589.25,19650.57,1289972,0
06/01/2017,15:30,19692.16,19887.66,19686.32,19860.03,1067474,0
06/02/2017,15:30,19970.23,20239.81,19967.00,20177.28,1549883,0
06/05/2017,15:30,20135.42,20224.54,20104.13,20170.82,1021955,0
06/06/2017,15:30,20122.26,20152.95,19948.02,19979.90,1052164,0
06/07/2017,15:30,19951.68,20023.24,19908.07,19984.62,1023345,0
06/08/2017,15:30,20048.28,20061.22,19896.35,19909.26,1291501,0
06/09/2017,15:30,19953.06,20096.01,19927.07,20013.26,1498118,0
06/12/2017,15:30,19920.77,19949.07,19837.64,19908.58,1155927,0
06/13/2017,15:30,19859.81,19929.03,19850.86,19898.75,1001636,0
06/14/2017,15:30,19974.56,20009.93,19879.60,19883.52,957588,0
06/15/2017,15:30,19815.54,19963.36,19755.34,19831.82,1102538,0
06/16/2017,15:30,19931.15,20015.16,19884.80,19943.26,1395220,0
06/19/2017,15:30,19974.30,20087.71,19949.88,20067.75,822328,0
06/20/2017,15:30,20234.12,20318.11,20227.29,20230.41,1023651,0
06/21/2017,15:30,20192.16,20215.11,20117.79,20138.79,977759,0
06/22/2017,15:30,20154.38,20191.42,20107.89,20110.51,872109,0
06/23/2017,15:30,20152.58,20152.58,20089.54,20132.67,829786,0
06/26/2017,15:30,20132.81,20196.38,20119.04,20153.35,793882,0
06/27/2017,15:30,20229.12,20250.10,20185.19,20225.09,930624,0
06/28/2017,15:30,20149.20,20224.30,20110.49,20130.41,1191299,0
06/29/2017,15:30,20260.87,20266.59,20197.38,20220.30,1225410,0
06/30/2017,15:30,20025.63,20044.01,19946.51,20033.43,1202231,0
07/03/2017,15:30,20056.32,20096.14,20030.61,20055.80,859512,0
07/04/2017,15:30,20192.27,20197.16,19971.53,20032.35,1034215,0
07/05/2017,15:30,20015.07,20087.01,19888.90,20081.63,974518,0
07/06/2017,15:30,20061.68,20078.88,19947.63,19994.06,955811,0
07/07/2017,15:30,19856.65,19979.93,19856.65,19929.09,946999,0
07/10/2017,15:30,20070.44,20127.76,20023.03,20080.98,883711,0
07/11/2017,15:30,20073.86,20200.88,20070.67,20195.48,796979,0
07/12/2017,15:30,20137.22,20153.04,20061.16,20098.38,839361,0
07/13/2017,15:30,20177.28,20183.80,20062.27,20099.81,932863,0
07/14/2017,15:30,20157.92,20163.67,20101.71,20118.86,857020,0
07/18/2017,15:30,20074.41,20081.29,19943.14,19999.91,963166,0
07/19/2017,15:30,19970.78,20032.46,19947.26,20020.86,837018,0
07/20/2017,15:30,20046.90,20157.11,20032.23,20144.59,833198,0
07/21/2017,15:30,20089.86,20135.33,20081.91,20099.75,810924,0
07/24/2017,15:30,19973.67,20002.54,19901.88,19975.67,837928,0
07/25/2017,15:30,19979.56,20036.31,19941.61,19955.20,723423,0
07/26/2017,15:30,20098.14,20116.00,20016.58,20050.16,880740,0
07/27/2017,15:30,20026.58,20176.39,20005.20,20079.64,926967,0
07/28/2017,15:30,20048.46,20056.16,19926.60,19959.84,1118785,0
07/31/2017,15:30,19933.45,19983.90,19891.90,19925.18,1446449,0
08/01/2017,15:30,19907.08,20000.46,19904.72,19985.79,1134555,0
08/02/2017,15:30,20057.07,20113.73,20022.05,20080.04,986341,0
08/03/2017,15:30,20066.00,20070.16,19985.40,20029.26,921118,0
08/04/2017,15:30,19949.79,19984.51,19933.59,19952.33,789019,0
08/07/2017,15:30,20059.29,20085.90,20037.40,20055.89,776312,0
08/08/2017,15:30,20062.65,20076.80,19970.57,19996.01,829088,0
08/09/2017,15:30,19928.96,19945.28,19660.22,19738.71,1076115,0
08/10/2017,15:30,19792.45,19829.88,19685.83,19729.74,1073689,0
08/14/2017,15:30,19545.58,19598.41,19486.48,19537.10,1115645,0
08/15/2017,15:30,19689.38,19824.12,19656.91,19753.31,930709,0
08/16/2017,15:30,19750.55,19776.86,19719.08,19729.28,715409,0
08/17/2017,15:30,19707.75,19739.04,19679.37,19702.63,741017,0
08/18/2017,15:30,19471.27,19543.13,19433.09,19470.41,986830,0
08/21/2017,15:30,19509.53,19509.53,19365.65,19393.13,776361,0
