"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2017,06:59,83.341,83.570,82.697,82.874,0,0
02/01/2017,06:59,82.806,82.929,82.319,82.431,0,0
02/02/2017,06:59,82.438,82.653,82.061,82.403,0,0
02/03/2017,06:59,82.350,82.574,82.038,82.185,0,0
02/04/2017,06:59,82.170,82.557,81.920,82.267,0,0
02/07/2017,06:59,82.088,82.448,81.661,81.798,0,0
02/08/2017,06:59,81.755,82.500,81.603,82.033,0,0
02/09/2017,06:59,82.029,82.151,81.171,81.285,0,0
02/10/2017,06:59,81.266,81.511,80.654,81.356,0,0
02/11/2017,06:59,81.349,81.868,81.284,81.502,0,0
02/14/2017,06:59,81.709,82.088,81.487,81.612,0,0
02/15/2017,06:59,81.567,81.890,81.316,81.883,0,0
02/16/2017,06:59,81.860,82.501,81.820,82.460,0,0
02/17/2017,06:59,82.396,82.589,81.674,81.692,0,0
02/18/2017,06:59,81.618,81.918,80.962,80.969,0,0
02/21/2017,06:59,81.128,81.331,80.954,81.262,0,0
02/22/2017,06:59,81.266,81.429,81.011,81.396,0,0
02/23/2017,06:59,81.345,81.455,80.842,81.448,0,0
02/24/2017,06:59,81.416,81.734,81.285,81.409,0,0
02/25/2017,06:59,81.363,81.581,80.527,80.592,0,0
02/28/2017,06:59,80.659,81.224,80.502,81.019,0,0
03/01/2017,06:59,80.986,81.114,80.656,81.071,0,0
03/02/2017,06:59,81.070,81.453,80.652,81.252,0,0
03/03/2017,06:59,81.190,81.489,80.737,80.781,0,0
03/04/2017,06:59,80.771,80.816,80.151,80.257,0,0
03/07/2017,06:59,79.908,80.223,79.607,79.628,0,0
03/08/2017,06:59,79.621,79.924,79.218,79.250,0,0
03/09/2017,06:59,79.210,79.479,78.964,79.061,0,0
03/10/2017,06:59,79.013,79.421,78.890,79.266,0,0
03/11/2017,06:59,79.248,80.055,79.210,79.392,0,0
03/14/2017,06:59,79.531,79.677,79.377,79.524,0,0
03/15/2017,06:59,79.497,79.570,79.288,79.374,0,0
03/16/2017,06:59,79.378,79.922,79.355,79.837,0,0
03/17/2017,06:59,79.809,79.879,78.832,79.136,0,0
03/18/2017,06:59,79.126,79.494,78.854,79.000,0,0
03/21/2017,06:59,79.037,79.555,78.964,79.375,0,0
03/22/2017,06:59,79.377,79.585,78.567,78.651,0,0
03/23/2017,06:59,78.618,78.745,78.010,78.285,0,0
03/24/2017,06:59,78.275,78.505,77.824,77.959,0,0
03/25/2017,06:59,77.947,78.280,77.786,78.208,0,0
03/28/2017,06:59,77.926,78.114,77.631,77.915,0,0
03/29/2017,06:59,77.905,78.113,77.460,77.939,0,0
03/30/2017,06:59,77.902,78.144,77.701,78.064,0,0
03/31/2017,06:59,78.027,78.328,77.760,78.279,0,0
04/01/2017,06:59,78.202,78.395,77.841,77.946,0,0
04/04/2017,06:59,77.927,78.131,77.565,77.775,0,0
04/05/2017,06:59,77.760,77.803,76.952,77.207,0,0
04/06/2017,06:59,77.192,77.514,77.034,77.057,0,0
04/07/2017,06:59,77.038,77.457,76.854,77.211,0,0
04/08/2017,06:59,77.200,77.370,76.659,76.965,0,0
