"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2017,06:59,114.706,114.947,113.439,113.778,0,0
02/01/2017,06:59,113.737,113.957,112.067,112.783,0,0
02/02/2017,06:59,112.785,113.944,112.622,113.245,0,0
02/03/2017,06:59,113.186,113.356,112.046,112.789,0,0
02/04/2017,06:59,112.777,113.437,112.307,112.551,0,0
02/07/2017,06:59,112.436,112.772,111.615,111.726,0,0
02/08/2017,06:59,111.706,112.572,111.583,112.378,0,0
02/09/2017,06:59,112.348,112.537,111.624,111.935,0,0
02/10/2017,06:59,111.912,113.341,111.717,113.226,0,0
02/11/2017,06:59,113.227,113.852,112.843,113.164,0,0
02/14/2017,06:59,113.496,114.162,113.401,113.743,0,0
02/15/2017,06:59,113.724,114.492,113.246,114.249,0,0
02/16/2017,06:59,114.209,114.950,113.842,114.167,0,0
02/17/2017,06:59,114.115,114.299,113.073,113.226,0,0
02/18/2017,06:59,113.220,113.495,112.613,112.789,0,0
02/21/2017,06:59,112.865,113.233,112.782,113.091,0,0
02/22/2017,06:59,113.067,113.774,113.061,113.673,0,0
02/23/2017,06:59,113.637,113.724,112.902,113.310,0,0
02/24/2017,06:59,113.303,113.453,112.544,112.620,0,0
02/25/2017,06:59,112.573,112.947,111.926,112.098,0,0
02/28/2017,06:59,112.115,112.836,111.910,112.701,0,0
03/01/2017,06:59,112.666,112.894,111.679,112.752,0,0
03/02/2017,06:59,112.712,114.044,112.695,113.723,0,0
03/03/2017,06:59,113.723,114.584,113.669,114.409,0,0
03/04/2017,06:59,114.375,114.747,113.801,113.994,0,0
03/07/2017,06:59,113.856,114.131,113.551,113.878,0,0
03/08/2017,06:59,113.852,114.151,113.725,113.976,0,0
03/09/2017,06:59,113.970,114.756,113.604,114.382,0,0
03/10/2017,06:59,114.293,114.995,114.281,114.932,0,0
03/11/2017,06:59,114.908,115.501,114.642,114.738,0,0
03/14/2017,06:59,114.704,114.918,114.473,114.871,0,0
03/15/2017,06:59,114.875,115.186,114.510,114.742,0,0
03/16/2017,06:59,114.749,114.882,113.160,113.360,0,0
03/17/2017,06:59,113.368,113.535,112.888,113.286,0,0
03/18/2017,06:59,113.299,113.490,112.558,112.616,0,0
03/21/2017,06:59,112.632,112.894,112.444,112.561,0,0
03/22/2017,06:59,112.551,112.864,111.529,111.707,0,0
03/23/2017,06:59,111.709,111.783,110.728,111.158,0,0
03/24/2017,06:59,111.133,111.572,110.620,110.910,0,0
03/25/2017,06:59,110.920,111.480,110.616,111.306,0,0
03/28/2017,06:59,110.899,111.041,110.100,110.663,0,0
03/29/2017,06:59,110.642,111.198,110.176,111.125,0,0
03/30/2017,06:59,111.124,111.313,110.702,111.042,0,0
03/31/2017,06:59,111.016,111.940,110.932,111.927,0,0
04/01/2017,06:59,111.868,112.194,111.233,111.394,0,0
04/04/2017,06:59,111.394,111.581,110.846,110.904,0,0
04/05/2017,06:59,110.895,110.928,110.260,110.734,0,0
04/06/2017,06:59,110.741,111.446,110.528,110.690,0,0
04/07/2017,06:59,110.686,111.134,110.280,110.801,0,0
04/08/2017,06:59,110.780,111.364,110.085,111.040,0,0
04/11/2017,06:59,111.036,111.576,110.798,110.919,0,0
04/12/2017,06:59,110.924,110.926,109.595,109.601,0,0
04/13/2017,06:59,109.605,109.859,108.949,108.978,0,0
04/14/2017,06:59,109.013,109.390,108.721,109.091,0,0
04/15/2017,06:59,109.114,109.223,108.525,108.606,0,0
04/18/2017,06:59,108.701,109.050,108.122,108.904,0,0
04/19/2017,06:59,108.875,109.218,108.313,108.430,0,0
04/20/2017,06:59,108.372,109.175,108.359,108.846,0,0
04/21/2017,06:59,108.853,109.486,108.712,109.310,0,0
04/22/2017,06:59,109.312,109.420,108.872,109.030,0,0
04/25/2017,06:59,110.561,110.581,109.655,109.757,0,0
04/26/2017,06:59,109.763,111.186,109.584,111.080,0,0
04/27/2017,06:59,111.042,111.777,110.861,111.050,0,0
04/28/2017,06:59,111.052,111.593,110.971,111.253,0,0
04/29/2017,06:59,111.233,111.715,111.062,111.489,0,0
05/02/2017,06:59,111.231,111.918,111.203,111.824,0,0
05/03/2017,06:59,111.802,112.302,111.767,111.989,0,0
05/04/2017,06:59,111.973,112.773,111.947,112.759,0,0
05/05/2017,06:59,112.742,113.045,112.307,112.459,0,0
05/06/2017,06:59,112.429,112.795,112.085,112.667,0,0
05/09/2017,06:59,112.889,113.291,112.385,113.247,0,0
05/10/2017,06:59,113.234,114.326,113.126,113.986,0,0
05/11/2017,06:59,113.935,114.367,113.617,114.283,0,0
05/12/2017,06:59,114.253,114.365,113.452,113.858,0,0
05/13/2017,06:59,113.804,113.949,113.198,113.323,0,0
05/16/2017,06:59,113.153,113.850,113.107,113.787,0,0
05/17/2017,06:59,113.743,113.780,112.920,113.108,0,0
05/18/2017,06:59,113.079,113.126,110.779,110.805,0,0
05/19/2017,06:59,110.778,111.731,110.233,111.472,0,0
05/20/2017,06:59,111.491,111.691,111.022,111.248,0,0
05/23/2017,06:59,111.008,111.603,110.921,111.292,0,0
05/24/2017,06:59,111.285,111.850,110.856,111.774,0,0
05/25/2017,06:59,111.744,112.125,111.469,111.476,0,0
05/26/2017,06:59,111.468,111.944,111.461,111.822,0,0
05/27/2017,06:59,111.738,111.846,110.871,111.309,0,0
05/30/2017,06:59,111.226,111.459,111.124,111.264,0,0
05/31/2017,06:59,111.222,111.305,110.654,110.836,0,0
06/01/2017,06:59,110.811,111.222,110.473,110.757,0,0
06/02/2017,06:59,110.722,111.476,110.620,111.362,0,0
06/03/2017,06:59,111.312,111.703,110.321,110.421,0,0
06/06/2017,06:59,110.326,110.725,110.301,110.470,0,0
06/07/2017,06:59,110.444,110.507,109.218,109.400,0,0
06/08/2017,06:59,109.371,109.880,109.111,109.816,0,0
06/09/2017,06:59,109.796,110.382,109.370,110.023,0,0
06/10/2017,06:59,109.990,110.809,109.702,110.318,0,0
06/13/2017,06:59,110.293,110.429,109.623,109.928,0,0
06/14/2017,06:59,109.924,110.268,109.765,110.062,0,0
06/15/2017,06:59,110.036,110.340,108.788,109.562,0,0
06/16/2017,06:59,109.571,110.975,109.261,110.935,0,0
06/17/2017,06:59,110.934,111.414,110.636,110.852,0,0
06/20/2017,06:59,110.875,111.595,110.713,111.523,0,0
06/21/2017,06:59,111.512,111.786,111.306,111.442,0,0
06/22/2017,06:59,111.435,111.736,111.060,111.357,0,0
06/23/2017,06:59,111.357,111.444,110.944,111.310,0,0
06/24/2017,06:59,111.290,111.427,111.150,111.255,0,0
06/27/2017,06:59,111.142,111.941,111.116,111.857,0,0
06/28/2017,06:59,111.824,112.458,111.459,112.341,0,0
06/29/2017,06:59,112.315,112.408,111.821,112.322,0,0
06/30/2017,06:59,112.278,112.922,111.802,112.157,0,0
07/01/2017,06:59,112.145,112.600,111.718,112.360,0,0
07/04/2017,06:59,112.081,113.468,112.054,113.375,0,0
07/05/2017,06:59,113.352,113.442,112.723,113.273,0,0
07/06/2017,06:59,113.263,113.683,112.815,113.252,0,0
07/07/2017,06:59,113.244,113.462,112.883,113.201,0,0
07/08/2017,06:59,113.155,114.176,113.099,113.897,0,0
07/11/2017,06:59,113.856,114.294,113.856,114.030,0,0
07/12/2017,06:59,114.019,114.492,113.708,113.939,0,0
07/13/2017,06:59,113.922,113.959,112.920,113.163,0,0
07/14/2017,06:59,113.144,113.524,112.856,113.283,0,0
07/15/2017,06:59,113.260,113.569,112.250,112.513,0,0
07/18/2017,06:59,112.452,112.858,112.325,112.620,0,0
07/19/2017,06:59,112.604,112.674,111.677,112.046,0,0
07/20/2017,06:59,112.065,112.229,111.547,111.928,0,0
07/21/2017,06:59,111.910,112.415,111.477,111.889,0,0
07/22/2017,06:59,111.884,112.074,111.008,111.117,0,0
07/25/2017,06:59,111.088,111.313,110.617,111.095,0,0
07/26/2017,06:59,111.086,111.951,110.823,111.875,0,0
07/27/2017,06:59,111.882,112.190,111.056,111.167,0,0
07/28/2017,06:59,111.153,111.706,110.776,111.260,0,0
07/29/2017,06:59,111.245,111.318,110.542,110.659,0,0
08/01/2017,06:59,110.623,110.766,110.209,110.250,0,0
